ime_avtomobila,znamka,leto_prve_registracije,prevozeni_kilometri,vrsta_motorja,vrsta_menjalnika,velikost_motorja,moc_motorja,cena
Volkswagen Touran 1.6 TDI Comfortline+KOT NOV+ACC+KAMERA+KROM,Volkswagen,2016,157000,diesel motor,ročni menjalnik,"['1', '5', '9', '8']",85,11850

Volkswagen Touran 1.9 TDI Basis,Volkswagen,2003,300000,diesel motor,ročni menjalnik,"['1', '8', '9', '6']",74,1850

Volkswagen Touran 1.9 TDI Trendline,Volkswagen,2004,262000,diesel motor,ročni menjalnik,"['1', '8', '9', '6']",77,2300

Volkswagen Touran 1.9 TDI Trendline,Volkswagen,2006,283349,diesel motor,ročni menjalnik,"['1', '8', '9', '6']",77,3300

Volkswagen Touran 2.0 TDI BMT Highline,Volkswagen,2015,182000,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",110,12300

Volkswagen Touran 2.0 TDI BlueMotion Tech. Highline,Volkswagen,2014,94800,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",103,13300

Volkswagen Touran 2.0 TDI Comfortline Cup-DSG-BIXENON-PARKTRONIC,Volkswagen,2015,238963,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",103,11699

Volkswagen Touran 2.0 TDI Highline,Volkswagen,2010,246000,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",103,7700

Volkswagen Touran 2.0 TDI Trendline,Volkswagen,2004,350000,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",100,1950

Volkswagen Touran 2.0TDi ,Volkswagen,2005,325000,diesel motor,ročni menjalnik,velikost motorja ni znana,"136 kW / 185 KM
",1800

Volkswagen up! 1.0 Mpi,Volkswagen,2014,99000,bencinski motor,ročni menjalnik,"['9', '9', '9']",44,6590

Volvo S40 ,Volvo,2011,184150,diesel motor,avtomatski menjalnik,"['1', '9', '8', '4']",130,5600

Volvo S60 D2 NAVI+PDC,Volvo,2013,162000,diesel motor,ročni menjalnik,"['1', '5', '6', '0']",84,7890

Volvo V40 2.0 D3 Momentum-KAMERA-GR. SEDEEV,Volvo,2013,123500,diesel motor,ročni menjalnik,"['1', '9', '8', '4']",110,9990

Volvo V40 D2 Momentum,Volvo,2016,137414,diesel motor,ročni menjalnik,"['1', '9', '6', '9']",88,12290

Volvo V50 DRIVe Summum,Volvo,2010,208274,diesel motor,ročni menjalnik,"['1', '5', '6', '0']",80,4100

Volvo V60 Cross Country D3 Summum-Usnje-Kamera,Volvo,2016,131214,diesel motor,ročni menjalnik,"['1', '9', '6', '9']",110,15440

Volvo V60 CrossCountry D4 Summum Geartronic XENON NAVI USNJE,Volvo,2016,70951,diesel motor,avtomatski menjalnik,"['1', '9', '6', '9']",140,24490

Volvo V60 D2 aut.-navi-alu,Volvo,2014,150000,diesel motor,avtomatski menjalnik,"['1', '5', '6', '0']",84,8540

Volvo V60 D6 AWD Summum Hybrid Plug-in,Volvo,2013,209745,diesel motor,avtomatski menjalnik,"['2', '4', '0', '0']",158,14400

Volvo XC60 2.4 5valjni D4 AWD|4x4 Summum®Geartronic|BiXenon,Volvo,2016,145282,diesel motor,avtomatski menjalnik,"['2', '4', '0', '0']",140,20999

Volvo XC60 FWD D4 Momentum,Volvo,2014,205000,diesel motor,ročni menjalnik,"['1', '9', '6', '9']",133,15300

Volvo XC90 D5 AWD Kinetic Geartronic,Volvo,2017,82457,diesel motor,avtomatski menjalnik,"['1', '9', '6', '9']",173,30900

Volvo XC90 T8 Twin Engine R-Design Geartronic-7.sedeev-PANO,Volvo,2016,140300,hibridni pogon,avtomatski menjalnik,"['1', '9', '6', '9']",235,43700

